ID,Nombre,Suscriptores,Provincia,Ciudad,Medio,Categoría,Estado,Fecha actualización,Notas
UCJIHNzhqQdw0WifcOwojz9Q,Canal 7 San Justo SF,6.990,Buenos Aires,San Justo,Digital,Actualidad,Revisado,2025-08-06,Re transmisión 
UCx7nK6N8gQXhSLQGWHmKO_A,NGFEDERAL EN VIVO,6.870,Buenos Aires,San Nicolás,Digital,Economía,Revisado,2025-08-06,Re transmision 
UCbD-LqQOyhyiPralPey8tqw,CEMENTO Radio streamig,1.290,Buenos Aires,Villa Ballester,Digital,Música,Revisado,2025-08-02,Estudio Radio digital
UCPQBDQdCydiprsTjxiJ57gQ,HUGO VICICONTE PESCA,161.000,Buenos Aires,Mar del Plata,Nativo YouTube,Deportes,Revisado,2025-09-08,Pesca con mosca
UCakYe1P-halMxM747KHAhZA,Muy Independiente,123.000,Buenos Aires,Avellaneda,Nativo YouTube,Deportes,Revisado,2025-07-04,Estudio y Lunes a viernes de 14 a 16 hs.
UCEw3F2kW0Iz97boK4LvcXaA,PelaVisión,75.300,Buenos Aires,Coronel Suarez,Nativo YouTube,Charlas/Podcast,Revisado,2025-07-04,Programacion de lunes a viernes 3hrs
UCSNFK2KFtpHRO9DslWCquzg,Canal 8 Stream ,65.000,Buenos Aires,Mar del Plata,Nativo YouTube,Actualidad,Revisado,2025-08-11,Programacion y estudio
UCtj5VnZYVjiBAbKbvhayDLw,De la Cuna al Infierno,39.500,Buenos Aires,,Nativo YouTube,Deportes,Revisado,2025-07-04,Una vez por semana
UCOIFJjKf-z-ltB0VeY9Fnnw,Pastor Omar Olier,27.200,Buenos Aires,Mar del Plata,Nativo YouTube,Religión,Revisado,2025-08-05,Transmision de charlas
UCoFWjmGI2F8VLVO2xKNbHcw,Esperanza Racinguista,26.200,Buenos Aires,Avellaneda,Nativo YouTube,Deportes,Revisado,2025-08-12,"Programacion  diaria, via zoom"
UCOCCqq7PwUZRrcNc7VIf3tA,Rojos De Pasion,22.700,Buenos Aires,Avellaneda,Nativo YouTube,Deportes,Revisado,2025-07-14,Transmision de partidos y programas semanales
UCxwAf-R1kNdzuepWtx3u1_A,Racing Online,19.400,Buenos Aires,Avellaneda,Nativo YouTube,Deportes,Revisado,2025-08-21,Comentan y transmiten deportes
UCgdzw0B0pBaTwCBOuJJD-HQ,Santuario Ma. del Rosario de San Nicolás,16.700,Buenos Aires,San Nicolás,Nativo YouTube,Religión,Revisado,2025-07-14,Transmision de misas
UCoZ2DrYeozAjmMLfJcfO5RA,myr tarot,12.500,Buenos Aires,San Nicolás,Nativo YouTube,Charlas/Podcast,Revisado,2025-09-14,
UC3t2rnJOpedx7ek0H6LmR3g,Reino de Ángeles - Mariel Romero,12.500,Buenos Aires,Tandíl,Nativo YouTube,Charlas/Podcast,Revisado,2025-09-03,
UCSYJAcn_jtt0B5-CKFcHNiQ,CFCArgentina TV,8.960,Buenos Aires,La Matanza,Nativo YouTube,Religión,Revisado,2025-07-07,Transmisión de misa
UCHtInVgUKXzjlShuh4kIBjw,Vive,6.620,Buenos Aires,La Plata,Nativo YouTube,Actualidad,Revisado,2025-07-23,Estudio programacion semanal 
UCwYIspzhyEff1U3OxZcvb8w,Kamikaze Stream,6.340,Buenos Aires, Ituzaingó,Nativo YouTube,Entretenimiento,Revisado,2025-07-31,Estudio y programacion semanal
UCWFylKzypM2c1aRt5SImiuQ,0221,6.150,Buenos Aires,La Plata,Nativo YouTube,Actualidad,Revisado,2025-08-05,Programacion diaria
UCMcxDhLjDGBvZt5KPIUiuPQ,ICBethel Marcelo Fernandez,6.100,Buenos Aires,Tigre,Nativo YouTube,Religión,Revisado,2025-08-06,Transmision de reuniones 
UCQFO4Dr6-jiCkXv_jyZNGhQ,Eclesia,6.050,Buenos Aires,Lomas de Zamora,Nativo YouTube,Política,Revisado,2025-06-18,Misas y charlas
UC9UpeHkknAswiUlEwIf60nQ,Campo Stream,5.940,Buenos Aires,,Nativo YouTube,Actualidad,Revisado,2025-06-29,Programacion semanal con estudio
UC12-uYZB20chEXq7VGFlsGA,Ecos Del Rojo,5.870,Buenos Aires,,Nativo YouTube,Deportes,Revisado,2025-07-04,"Partidos de Independiente , estudio propio"
UCj3t0nMWRGcbbzOngSMb-8Q,PRESENCIA QUILMES ,5.690,Buenos Aires,Quilmes,Nativo YouTube,Religión,Revisado,2025-08-06,Desde la casa
UCsVoUwxUQs4T2Rs1hJAKxug,De Local Streaming,5.140,Buenos Aires,Mar del Plata,Nativo YouTube,Deportes,Revisado,2025-07-04,Transmision de los partidos de la Liga local
UCz_VOjwNig-4ekgLLfU7kMA,BRUJULA STREAM,4.700,Buenos Aires,,Nativo YouTube,Entretenimiento,Revisado,2025-08-04,Programacion y estudio
